User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
Brothers102,Brothers102 (1),Cody Gakpo,Jesper Karlsson,Bruno Martins Indi,Dani De Wit,Joey Veerman,Mario Gotze,Owen Wijndal,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis,Yvon Mvogo
BS72978 Wanderers,BS72978 Wanderers (1),Mario Gotze,Pantelis Chatzidiakos,Armando Obispo,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Jordan Teze,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (1),Cody Gakpo,Vangelis Pavlidis,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mario Gotze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (2),Cody Gakpo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mario Gotze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (3),Cody Gakpo,Ibrahim Sangare,Bruno Martins Indi,Dani De Wit,Jordan Teze,Mario Gotze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (4),Mario Gotze,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (5),Cody Gakpo,Phillipp Mwene,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (6),Cody Gakpo,Yvon Mvogo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mario Gotze,Mauro Junior,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BSRefrigeration,BSRefrigeration (7),Bruno Martins Indi,Yvon Mvogo,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Jordan Teze,Mario Gotze,Mauro Junior,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
BTanwarXI,BTanwarXI (1),Cody Gakpo,Jesper Karlsson,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordy Clasie,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
Bubun XI,Bubun XI (1),Ritsu Doan,Mario Gotze,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Joey Veerman,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
Bubun XI,Bubun XI (2),Joey Veerman,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Mario Gotze,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
